📖,Character_ID,Name,Memberships,Role,Description,Relationships,Items_CSV_Path,Character_CSV,Notes,Room_Password
👓,BH-8055,The Bounty Hunters' Boss,BLS,Maintain the Bounties,"An entity of influence and capability, involved in tasks requiring strength, wisdom, and leadership within U'asa.",Updates and Announces the status of the Bounty Board to all Bounty Hunters,None,None,None,Hidden
🎄,BS-D0U6,Black Snake Itself,BLS,Prime of the Douglas Family,"Master of the Evergreen Grove, overseer of the training and progressions of the Douglas Family Trees","Answers to the Negotiator, and all Elder Douglas Trees answer to the Black Snake Itself",None,None,None,Hidden
🦧,WL-C4RD,The Card Game Player,White Lotus Society,Play Card Games,"Utilizes the inn, particularly by the Space Cadet Pinball Machine, as a discreet location for meetings.","Engages with the innkeeper's assistant for most tasks, when he is not busy.",None,None,None,Hidden
🌕,TG-M00N,Guardian of the Temple of the Moon,BLS,Protect Temple Secrets,"A figure within the BLS, known for his deep involvement in strategic discussions and magical practices.",Eliminates Entities From U'asa. May call upon the DRAGON OF DARKNESS at will.,None,None,None,Hidden
🍄,TG-P37M,The Astral Mushroom,White Lotus Society,Prime Myconid,Tender of the Petrified Mushroom within the Punishment Cave at U'asa,"Spawns all other Myconid, writes thier role documents, Guards the Portal.",None,None,None,Locked
👑,TG-K1N6,Sovereign,BLS,"DRAGON_OF_DARKNESS, The Abyss Itself","The first player, occupier of the pseudoscalar throne, trailblazer of ALL, the One","All other enties are playing his game, which he also is still in.",None,None,None,Hidden
🎱,A1-BBEG,BBEG Himself,Undisclosed,Anything He Wants,"An unstopable force, who found access to the game's save folder!","Skypirates, Undead Horde, Highway Patrollers, Assassins Guild",None,None,None,Hidden
🥼,WL-1N17,Initiate,White Lotus Society Initiate,,"An initiate into the White Lotus Society, who may be recognized by the white robes they wear.","Often found at the town's Inn, probably knows most if not all locals, depending on village size.",None,None,None,Reserved
👘,BL-1N17,Initiate,BLS Initiate,,"An initiate into the BLS, who's tasks will be known to them and their handler",A 'handler' to oversees and guides an initiate on each mission they undertake,None,None,None,Locked
🧥,BB-R3C7,Recruit,BBEG Recruit,Execute tasks,"Knowlingly or unknowingly is performing tasks in benefit of the BBEG, likely indirectly.","Probably a lot, and they will include the BBEG, or a connection to him.",None,None,None,Locked
🐓,WL-81RD,The White Bird,White Lotus Society,White Bird (Chicken),Message carrier for the White Lotus Society,All White Lotus Society Members,None,None,None,Reserved
🦚,BL-81RD,The Black Bird,Black Lotus Society,Black Bird (Peacock),Message carrier for the BLS (do not intercept),All BLS Members,None,None,None,Reserved
🐦,CG-81RD,The Red Bird,"BLS, White Lotus Society",Red Bird (Cardinal),"Message carriers from White to Black, and Black to White (intercept at peril)",All BLS and White Lotus Society Members,None,None,None,Reserved
